year,mosaic,urban
1992,160342.06368207408,78864.19199552233
1993,160230.4609959034,80901.30485925997
1994,160134.30268706777,83111.81392380947
1995,147787.81496312024,85493.54529983956
1996,143418.64498380237,87931.77363130977
1997,140227.69146551075,90455.31868064281
1998,138748.43186679622,93431.99859861797
1999,130095.72128635566,96477.36852061714
2000,127633.05991196487,99651.47393106334
2001,123283.72646573887,108014.31217438052
2002,121874.1667238303,118985.23828385121
2003,118758.51968741658,131330.6635289712
2004,116086.4358096296,144933.85945164424
2005,114126.74500537956,146685.99534656553
2006,112064.34345735832,147918.32612851233
2007,109289.6116972898,149298.84939926036
2008,104501.73426168619,151063.79754876837
2009,101617.60013609592,151927.30876811504
2010,101557.28247656004,152774.62243508475
2011,101413.10011091817,153604.10208212314
2012,101538.85639303963,154874.59360895958
2013,101328.55331807886,156249.32623597854
2014,100441.79131303445,158023.68181252535
2015,100416.45668463461,159186.26200674375
